input_id	dealiased_id	standard_id	short_id
doi:10.1038/nrg1316	doi:10.1038/nrg1316	doi:10.1038/nrg1316	TUQFenhc
doi:10.1098/rspb.2006.3539	doi:10.1098/rspb.2006.3539	doi:10.1098/rspb.2006.3539	W2f2SDjn
doi:10.1002/ece3.7359	doi:10.1002/ece3.7359	doi:10.1002/ece3.7359	WVIa4CH0
doi:10.2307/2412950	doi:10.2307/2412950	doi:10.2307/2412950	1GEljkDsf
doi:10.1111/nph.13450	doi:10.1111/nph.13450	doi:10.1111/nph.13450	c3poTogo
doi:10.1093/iob/obad008	doi:10.1093/iob/obad008	doi:10.1093/iob/obad008	19h9vxsYG
doi:10.1186/s12915-020-0753-2	doi:10.1186/s12915-020-0753-2	doi:10.1186/s12915-020-0753-2	IKVBgaCE
doi:10.1371/journal.pone.0228333	doi:10.1371/journal.pone.0228333	doi:10.1371/journal.pone.0228333	8Pmc2mI8
doi:10.1093/iob/obac022	doi:10.1093/iob/obac022	doi:10.1093/iob/obac022	BDrCSu8p
https://osf.io/ecmz4	https://osf.io/ecmz4	url:https://osf.io/ecmz4	3rxGCEvJ
doi:10.26496/bjz.2014.63	doi:10.26496/bjz.2014.63	doi:10.26496/bjz.2014.63	pN1S9E5p
10.1089/zeb.2016.1245	10.1089/zeb.2016.1245	doi:10.1089/zeb.2016.1245	kkBa4qNV
https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	url:https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	VCZPOv2f
doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	115PPSuQp
https://openscad.org	https://openscad.org	url:https://openscad.org	wsjdcTeC
https://github.com/TomoGraphics/Hol3Drs/blob/master/EAWAG.Fish.scad	https://github.com/TomoGraphics/Hol3Drs/blob/master/EAWAG.Fish.scad	url:https://github.com/TomoGraphics/Hol3Drs/blob/master/EAWAG.Fish.scad	f7OzrzUv
https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	url:https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	ZjgrPHTa
https://eprints.soton.ac.uk/403913	https://eprints.soton.ac.uk/403913	url:https://eprints.soton.ac.uk/403913	pQ6Wbz73
doi:10.5281/zenodo.6798632	doi:10.5281/zenodo.6798632	doi:10.5281/zenodo.6798632	1HteOscVd
doi:10.5281/zenodo.7093122	doi:10.5281/zenodo.7093122	doi:10.5281/zenodo.7093122	19qQOHlFN
doi:10.25080/Majora-92bf1922-00a	doi:10.25080/Majora-92bf1922-00a	doi:10.25080/majora-92bf1922-00a	U5AcoDOX
dask	dask	dask	hj1CnyWB
https://image.dask.org	https://image.dask.org	url:https://image.dask.org	wIfTDBqd
doi:10.1016/j.mri.2012.05.001	doi:10.1016/j.mri.2012.05.001	doi:10.1016/j.mri.2012.05.001	OsCpHsJH
doi:10.1111/2041-210X.13669	doi:10.1111/2041-210X.13669	doi:10.1111/2041-210x.13669	MwdN6kPV
https://teem.sourceforge.net/nrrd/format.html	https://teem.sourceforge.net/nrrd/format.html	url:https://teem.sourceforge.net/nrrd/format.html	rn6XbmFW
doi:10.1007/s10750-016-2925-1	doi:10.1007/s10750-016-2925-1	doi:10.1007/s10750-016-2925-1	JtHcU2O2
doi:10.1643/i2021016	doi:10.1643/i2021016	doi:10.1643/i2021016	15FafMZm5
doi:10.1111/2041-210X.13029	doi:10.1111/2041-210X.13029	doi:10.1111/2041-210x.13029	VPUOQA2P
geomorph	geomorph	geomorph	Ziptbtib
rrpp	rrpp	rrpp	EwNL0C0Y
r	r	r	whEyWyQh
rstudio	rstudio	rstudio	QfVloFVu
https://github.com/K3D-tools/K3D-jupyter	https://github.com/K3D-tools/K3D-jupyter	url:https://github.com/K3D-tools/K3D-jupyter	a9ZL41Of
doi:10.25080/majora-4af1f417-011	doi:10.25080/majora-4af1f417-011	doi:10.25080/majora-4af1f417-011	Q20Bxdsr
doi:10.3389/fmars.2019.00728	doi:10.3389/fmars.2019.00728	doi:10.3389/fmars.2019.00728	PgMc4mCy
doi:10.1016/j.micron.2022.103342	doi:10.1016/j.micron.2022.103342	doi:10.1016/j.micron.2022.103342	HYXdLQTV
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
