input_id	dealiased_id	standard_id	short_id
doi:10.1038/nrg1316	doi:10.1038/nrg1316	doi:10.1038/nrg1316	TUQFenhc
doi:10.1098/rspb.2006.3539	doi:10.1098/rspb.2006.3539	doi:10.1098/rspb.2006.3539	W2f2SDjn
doi:10.1111/nph.13450	doi:10.1111/nph.13450	doi:10.1111/nph.13450	c3poTogo
https://osf.io/ecmz4	https://osf.io/ecmz4	url:https://osf.io/ecmz4	3rxGCEvJ
https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	url:https://github.com/TomoGraphics/Hol3Drs/blob/master/STL/EAWAG.Fish.stl	VCZPOv2f
doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	115PPSuQp
https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	url:https://github.com/habi/EAWAG/blob/master/rsync-fishes.sh	ZjgrPHTa
https://eprints.soton.ac.uk/403913	https://eprints.soton.ac.uk/403913	url:https://eprints.soton.ac.uk/403913	pQ6Wbz73
doi:10.5281/zenodo.6798632	doi:10.5281/zenodo.6798632	doi:10.5281/zenodo.6798632	1HteOscVd
doi:10.5281/zenodo.7093122	doi:10.5281/zenodo.7093122	doi:10.5281/zenodo.7093122	19qQOHlFN
dask	dask	dask	hj1CnyWB
doi:10.1016/j.mri.2012.05.001	doi:10.1016/j.mri.2012.05.001	doi:10.1016/j.mri.2012.05.001	OsCpHsJH
doi:10.1111/2041-210X.13669	doi:10.1111/2041-210X.13669	doi:10.1111/2041-210x.13669	MwdN6kPV
https://w.wiki/5mBK	https://w.wiki/5mBK	url:https://w.wiki/5mBK	12B4h087w
doi:10.1643/i2021016	doi:10.1643/i2021016	doi:10.1643/i2021016	15FafMZm5
doi:10.1093/iob/obac022	doi:10.1093/iob/obac022	doi:10.1093/iob/obac022	BDrCSu8p
doi:10.1111/2041-210X.13029	doi:10.1111/2041-210X.13029	doi:10.1111/2041-210x.13029	VPUOQA2P
geomorph	geomorph	geomorph	Ziptbtib
rrpp	rrpp	rrpp	EwNL0C0Y
r	r	r	whEyWyQh
rstudio	rstudio	rstudio	QfVloFVu
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
